file_name, filter_, image_size, camera, center_ra(deg), center_dec(deg), width_ra('), width_dec('), jd, exp_time(s), ccd_temp(C)
19970603_1350_14.72.fits,14.72,"(2048, 15000)",Loral1,207.499007319,32.9996772179,148.372883159,20.3159887228,2450602.67098,30720.0,-33.15
19970409_1420_14.72.fits,14.72,"(2048, 15000)",Loral1,214.999115776,33.0066103646,148.372883159,20.3159887228,2450547.84193,30720.0,-33.15
19970414_1620_14.72.fits,14.72,"(2048, 15000)",Loral1,244.99902996,33.0131485273,148.372883159,20.3159887228,2450552.91139,30720.0,-33.15
19970409_1130_14.72.fits,14.72,"(2048, 15000)",Loral1,172.499058004,33.001932032,148.37519022,20.3159887228,2450547.72418,30720.0,-33.15
19970410_1740_14.72.fits,14.72,"(2048, 15000)",Loral1,265.003292544,33.0198398392,148.372883184,20.3150304214,2450548.97773,30720.0,-33.15
19970409_1650_14.72.fits,14.72,"(2048, 15000)",Loral1,252.499101066,33.0160215715,148.372883159,20.3159887228,2450547.94582,30720.0,-33.15
19970408_1210_14.72.fits,14.72,"(2048, 15000)",Loral1,182.498930268,33.004822917,148.3730929,20.3150304214,2450546.75462,30720.0,-33.15
19970408_0900_14.72.fits,14.72,"(2048, 15000)",Loral1,134.999051846,33.0075083456,148.372883184,20.3150304214,2450546.623,30720.0,-33.15
19970409_1620_14.72.fits,14.72,"(2048, 15000)",Loral1,244.998937036,33.0139210768,148.372673442,20.3159887228,2450547.92504,30720.0,-33.15
19970409_1300_14.72.fits,14.72,"(2048, 15000)",Loral1,195.003310999,33.0033907023,148.372883159,20.3159887228,2450547.78653,30720.0,-33.15
19970410_1540_14.72.fits,14.72,"(2048, 15000)",Loral1,234.999100304,33.0114766579,148.372883159,20.3150304214,2450548.89461,30720.0,-33.15
19970408_0950_14.72.fits,14.72,"(2048, 15000)",Loral1,147.499108027,33.0057669422,148.372883184,20.3150304214,2450546.65764,30720.0,-33.15
19970414_1520_14.72.fits,14.72,"(2048, 15000)",Loral1,229.999081645,33.0091844987,148.372883159,20.3159887228,2450552.86984,30720.0,-33.15
19970414_1510_14.72.fits,14.72,"(2048, 15000)",Loral1,227.49892906,33.0085734823,148.372883184,20.3159887228,2450552.86291,30720.0,-33.15
19970409_1400_14.72.fits,14.72,"(2048, 15000)",Loral1,209.999030455,33.0056542806,148.372883184,20.3159887228,2450547.82808,30720.0,-33.15
19970409_1550_14.72.fits,14.72,"(2048, 15000)",Loral1,237.499001973,33.0118961113,148.374980503,20.3159887228,2450547.90427,30720.0,-33.15
19970410_1650_14.72.fits,14.72,"(2048, 15000)",Loral1,252.49909432,33.0162614388,148.37519022,20.3150304214,2450548.94309,30720.0,-33.15
19970408_1050_14.72.fits,14.72,"(2048, 15000)",Loral1,162.499057169,33.0046248525,148.374980478,20.3150304214,2450546.6992,30720.0,-33.15
19970414_1530_14.72.fits,14.72,"(2048, 15000)",Loral1,232.499092289,33.0098117139,148.374770761,20.3159887228,2450552.87677,30720.0,-33.15
19970603_1510_14.72.fits,14.72,"(2048, 15000)",Loral1,227.499032119,33.0035621124,148.792347377,20.3159887228,2450602.7264,30720.0,-33.15
19970603_1800_14.72.fits,14.72,"(2048, 15000)",Loral1,269.998966497,33.0154479839,148.372883184,20.3159887228,2450602.84414,30720.0,-33.15
19970414_1430_14.72.fits,14.72,"(2048, 15000)",Loral1,217.499106154,33.0063146772,148.372883184,20.3159887228,2450552.83521,30720.0,-33.15
19970414_1100_14.72.fits,14.72,"(2048, 15000)",Loral1,164.998945136,33.0012436158,148.374980503,20.3159887228,2450552.68975,30720.0,-33.15
19970414_1130_14.72.fits,14.72,"(2048, 15000)",Loral1,172.498969661,33.0011590126,148.372883184,20.3159887228,2450552.71053,30720.0,-33.15
19970410_1530_14.72.fits,14.72,"(2048, 15000)",Loral1,232.499094392,33.010837176,148.37519022,20.3150304214,2450548.88769,30720.0,-33.15
19970408_1340_14.72.fits,14.72,"(2048, 15000)",Loral1,205.003157144,33.0073446603,148.372883184,20.3150304214,2450546.81697,30720.0,-33.15
19970414_1640_14.72.fits,14.72,"(2048, 15000)",Loral1,249.99897017,33.0145531237,148.794234979,20.3159887228,2450552.92524,30720.0,-33.15
